id,word,definition_gloss,frequency_rank,frequency_in_gnt,percent_of_gnt
238,"Πιλᾶτος, -ου, ὁ ",Pilate,292,55,0.04
239,πίνω,to drink,234,73,0.05
240,πίπτω,to fall,193,90,0.07
241,πιστεύω,"to believe, trust, have faith (in); entrust",65,241,0.2
242,"πίστις, -εως, ἡ ","faith, trust, belief",64,243,0.2
243,"πιστός, -ή, -όν ","faithful, trustworthy, believing",246,67,0.05
244,πληρόω ,"to fill, fulfill",198,86,0.06
245,"πλοῖον, -ου, τό ",boat,247,67,0.05
246,"πνεῦμα, -τος, τό ","spirit, the Spirit; self; wind; breath",47,379,0.3
247,ποιέω ,"to make, do",31,568,0.4
248,"πόλις, -εως, ἡ ",city,96,163,0.12
249,"πολύς, πολλή, πολύ ","much, many",43,416,0.3
250,"πονηρός, -ά, -όν ","evil, wicked",216,78,0.06
251,πορεύομαι ,"to go, proceed, travel; live, walk",108,153,0.11
252,"πούς, ποδός, ὁ ",a foot,186,93,0.07
253,"πρεσβύτερος, -α, -ον ",elder,252,66,0.05
254,πρός ,"(Acc) to, toward; (Dat) at, on; (Gen) for the sake of",24,700,0.5
255,προσέρχομαι ,to come / go to,199,86,0.06
256,προσεύχομαι ,to pray,201,85,0.06
257,προσκυνέω ,to worship,272,60,0.04
258,"πρόσωπον, -ου, τό ","face, presence",224,76,0.06
259,"προφήτης, -ου, ὁ ",prophet,116,144,0.11
260,"πρῶτος, -η, -ον ",first,107,155,0.11
261,"πῦρ, -ός, τό ",fire,237,71,0.05
262,πῶς,how?,162,103,0.08
263,"ῥῆμα, -τος, τό ","word, saying, matter",243,68,0.05
264,"σάββατον, -ου, τό ",Sabbath; (pl) week,244,68,0.05
265,"σάρξ, σαρκός, ἡ ",flesh,112,147,0.11
266,"σημεῖον, -ου, τό ",(miraculous) sign,221,77,0.06
267,"Σίμων, -ωνος, ὁ ",Simon,228,75,0.05
268,"σοφία, -ας, ἡ ",wisdom,306,51,0.04
269,σπείρω ,to sow,305,52,0.04
270,"στόμα, -τος, τό ",a mouth,217,78,0.06
271,σύ ,(2nd person pronoun) you,4,2908,2.1
272,σύν ,(Dat) with,132,128,0.10
273,συνάγω ,to gather (together),280,59,0.04
274,"συναγωγή, -ῆς, ἡ ","synagogue, assembly",287,56,0.04
275,σῴζω ,"to save, heal, rescue",159,106,0.08
276,"σῶμα, -τος, τό ",body,121,142,0.10
277,τέ ,and (enclitic weak connective particle),75,215,0.2
278,"τέκνον, -ου, τό ",child,172,99,0.07
279,τηρέω,"to keep, observe, guard",239,70,0.05
280,τίθημι,"to put, place",171,100,0.07
281,"τίς, τί ",(interrogative pronoun) who? which? what? why?,32,555,0.4
282,"τὶς, τὶ","(indef pronoun) anyone/thing, someone/thing",34,534,0.4
283,"τοιοῦτος, -αύτη, -οῦτον","such, of such kind",283,57,0.04
284,"τόπος, -ου, ὁ",place,183,94,0.07
285,τότε ,then,99,160,0.12
286,"τρεῖς, -τρία ",three,241,69,0.05
287,"τρίτος, -η, -ον ",third,288,56,0.04
288,"τυφλός, -ή, -όν ",blind,311,50,0.04
289,"ὕδωρ, ὕδατος, τό ",water,225,76,0.06
290,"υἱός, -οῦ, ὁ ",son,48,377,0.3
291,ὑπάγω,"to go, go away, go back, depart",215,79,0.06
292,ὑπάρχω,"to exist, be present, be",273,60,0.04
293,ὑπέρ,"(Gen) for, for sake of; (Acc) over, above, beyond",109,150,0.11
294,ὑπό,(Gen) by; (Acc) under,71,220,0.2
295,"Φαρισαῖος, -ου, ὁ ",Pharisee,174,98,0.07
296,φέρω ,"to bring, carry, bear, lead",249,66,0.05
297,φημί ,to say,250,66,0.05
298,φοβέομαι ,to fear; reverence,180,95,0.07
299,"φωνή, -ῆς, ἡ ","voice, sound",124,139,0.10
300,"φῶς, -φωτός, τό ",light,233,73,0.05
301,χαίρω ,to rejoice,230,74,0.05
302,"χαρά, -ᾶς, ἡ ","joy, delight",275,59,0.04
303,"χάρις, -ιτος, ἡ ","grace, kindness, mercy",105,155,0.11
304,"χείρ, χειρός, ἡ ",a hand,88,177,0.13
305,"Χριστός, -οῦ, ὁ ",Christ (= Hebrew Messiah = Anointed One),35,529,0.4
306,"χρόνος, -ου, ὁ ",time,293,54,0.04
307,"ψυχή, -ῆς, ἡ ","life (-force), soul, self, person",163,103,0.08
308,ὧδε ,"here, hither",270,61,0.04
309,"ὥρα, -ας, ἡ ","hour, moment, time",160,106,0.08
310,ὡς,"as, like, that, how, about",36,504,0.4
311,ὥστε,"so that, that",204,83,0.06
