Table 1
Row Labels,Count of #,,,,,,,,,,,,,,,,,,,,,,,
3002001-3003000,9,,,,,,,,,,,,,,,,,,,,,,,
3003001-3004000,2,,,,,,,,,,,,,,,,,,,,,,,
3004001-3005000,8,,,,,,,,,,,,,,,,,,,,,,,
3005001-3006000,8,,,,,,,,,,,,,,,,,,,,,,,
3006001-3007000,14,,,,,,,,,,,,,,,,,,,,,,,
3007001-3008000,3,,,,,,,,,,,,,,,,,,,,,,,
3009001-3010000,2,,,,,,,,,,,,,,,,,,,,,,,
3010001-3011000,5,,,,,,,,,,,,,,,,,,,,,,,
3011001-3012000,39,,,,,,,,,,,,,,,,,,,,,,,
3012001-3013000,4,,,,,,,,,,,,,,,,,,,,,,,
3013001-3014000,30,,,,,,,,,,,,,,,,,,,,,,,
3014001-3015000,8,,,,,,,,,,,,,,,,,,,,,,,
3015001-3016000,7,,,,,,,,,,,,,,,,,,,,,,,
3016001-3017000,7,,,,,,,,,,,,,,,,,,,,,,,
3017001-3018000,1,,,,,,,,,,,,,,,,,,,,,,,
3018001-3019000,7,,,,,,,,,,,,,,,,,,,,,,,
3019001-3020000,26,,,,,,,,,,,,,,,,,,,,,,,
3020001-3021000,1,,,,,,,,,,,,,,,,,,,,,,,
3021001-3022000,14,,,,,,,,,,,,,,,,,,,,,,,
3022001-3023000,7,,,,,,,,,,,,,,,,,,,,,,,
3023001-3024000,8,,,,,,,,,,,,,,,,,,,,,,,
3024001-3025000,7,,,,,,,,,,,,,,,,,,,,,,,
3025001-3026000,14,,,,,,,,,,,,,,,,,,,,,,,
3026001-3027000,30,,,,,,,,,,,,,,,,,,,,,,,
3027001-3028000,4,,,,,,,,,,,,,,,,,,,,,,,
4001001-4002000,25,,,,,,,,,,,,,,,,,,,,,,,
4003001-4004000,15,,,,,,,,,,,,,,,,,,,,,,,
4004001-4005000,3,,,,,,,,,,,,,,,,,,,,,,,
4005001-4006000,6,,,,,,,,,,,,,,,,,,,,,,,
4006001-4007000,9,,,,,,,,,,,,,,,,,,,,,,,
4007001-4008000,1,,,,,,,,,,,,,,,,,,,,,,,
4010001-4011000,4,,,,,,,,,,,,,,,,,,,,,,,
4011001-4012000,25,,,,,,,,,,,,,,,,,,,,,,,
4012001-4013000,7,,,,,,,,,,,,,,,,,,,,,,,
4013001-4014000,35,,,,,,,,,,,,,,,,,,,,,,,
4014001-4015000,7,,,,,,,,,,,,,,,,,,,,,,,
4015001-4016000,3,,,,,,,,,,,,,,,,,,,,,,,
4016001-4017000,10,,,,,,,,,,,,,,,,,,,,,,,
4017001-4018000,3,,,,,,,,,,,,,,,,,,,,,,,
4018001-4019000,3,,,,,,,,,,,,,,,,,,,,,,,
4020001-4021000,5,,,,,,,,,,,,,,,,,,,,,,,
4021001-4022000,38,,,,,,,,,,,,,,,,,,,,,,,
4022001-4023000,16,,,,,,,,,,,,,,,,,,,,,,,
4023001-4024000,15,,,,,,,,,,,,,,,,,,,,,,,
4024001-4025000,15,,,,,,,,,,,,,,,,,,,,,,,
4025001-4026000,13,,,,,,,,,,,,,,,,,,,,,,,
4026001-4027000,75,,,,,,,,,,,,,,,,,,,,,,,
4027001-4028000,2,,,,,,,,,,,,,,,,,,,,,,,
4030001-4031000,4,,,,,,,,,,,,,,,,,,,,,,,
4031001-4032000,11,,,,,,,,,,,,,,,,,,,,,,,
4032001-4033000,22,,,,,,,,,,,,,,,,,,,,,,,
